call_id,flags,flag_count,transcript_chars,transcript_preview,gold_appointment_booked,gold_client_type,gold_treatment_type,gold_reason_not_booked,review_status,review_notes
CAL01984caca99c7fad881764505249792c,no_medical_content,1,719,"Agent: Kingston Regional Pet Hospital. How can I help you? Caller: Hi there. I'm just waiting in the parking lot with my cat, Cosmo, and I was wondering if you have any indoor waiting spaces, or is it only outdoor? Agent: Actually, we're getting ready to see Cosmo. We were just waiting to have a roo",Yes,Existing,Urgent Care / Sick Pet,,,
CAL01984d8e132a715f8d8063f8008dea47,no_medical_content,1,1147,"Agent: Thank you for calling Kingston Regional Pet Hospital. Only speaking. How can I help you? Caller: Hi. I just have a quick question. Agent: Sure. Caller: Do you guys utilize guinea pigs? Agent: I believe that we do. Yes. I will confirm that with the vet when she comes out, but I'm pretty sure t",Yes,New,End of Life Care – In-Clinic Euthanasia,,,
CAL01984e1696677206bd8c86d5510a25bd,no_medical_content,1,2972,"Agent: Kingston Regional Pet Hospital, how can I help you? Caller: Hi, my name is Logan, and I was actually just in this morning with my cat Brett for a [MEDICAL_PROCESS] [MEDICAL_PROCESS] [MEDICAL_PROCESS]. Agent: Okay. Caller: I came home today, actually, just after dinner and noticed my German sh",No,Existing,Urgent Care / Sick Pet,2b. Scheduling Issue - Full schedule,,
CAL01984e7a57837f42a296bd9dbd5bc779,no_medical_content,1,1767,"Agent: Kingston Regional Pet Hospital, how can I help you? Caller: Hi, Susan. I was just calling, having some concerns about my dog. We picked her up from my parents. Agent: Sorry, I'm just going to stop because you're really cutting out and I'm having a hard time hearing you. Caller: Okay, one seco",Inconclusive,New,"Emergency & Critical Care – Stabilization (Trauma, Poisoning, Seizures)",,,
CAL01984e91c7ce7f01bf03df492393e34c,no_medical_content,1,515,"Agent: Kingston Regional Pet Hospital. How can I help you? Caller: I am just going to cancel it for now. Check him out at home. If anything changes tomorrow, I can bring him back. Agent: Yeah, so just so you're aware, we're staffed overnight till 8am. Caller: Okay. Agent: And then we're closed durin",No,New,"Emergency & Critical Care – Stabilization (Trauma, Poisoning, Seizures)",1a. Caller Procrastination - Price Objection / Shopping / Request for Quote,,
CAL01984e9771997e679d83323418756809,garbled,1,806,"Agent: Kingston Regional Pet Hospital. How can I help you? Caller: Hey, it's Katie calling from Korth Event Emergency Clinic in Peterborough. How are you? Agent: Good, thank you. What can I do for you? Caller: You taking patients? Agent: We are. What's the case? Caller: Sweet. I'm going to hang out ",No,New,Emergency & Critical Care,1c. Caller Procrastination - Getting information for someone else,,
CAL01984e9984ea7ae4976d0c9efd432bd9,no_medical_content,1,1529,"Agent: Kingston Regional Pet Hospital. How can I help you? Caller: Hello, I'm just wondering if I can drop off an [INJURY] turtle. I understand you guys are 24 hours holding. Agent: Oh, yes, we can certainly do that. Are you in Kingston? Caller: I'm actually in Verona, Ontario. Agent: Okay. Caller: ",Inconclusive,New,"Emergency & Critical Care – Stabilization (Trauma, Poisoning, Seizures)",,,
CAL01984f9d8c7372878922163625c94d5b,no_medical_content,1,3663,"Agent: Kingston Regional Pet Hospital, how can I help you? Caller: Hi, I'm Colin from Animal Welfare Services. Agent: Hi there. Caller: Hi. I got a call from Kingston Police and they. I'm on like police triage for animal welfare tonight. So they have a dog that's quite ill. They went to a call, ther",Inconclusive,New,Emergency & Critical Care,,,
CAL01984fcf016976608aab7b89e9929bea,no_medical_content,1,679,"Agent: Kingston Regional Pet Hospital. How can I help you? Caller: Hi, there. How are you? I just spoke to you there not long ago. I just wanted to let you know that we are on our way. Agent: Okay, when should we expect you then, based on where you are? Caller: We are in Verona right now. Agent: Oka",Yes,New,"Emergency & Critical Care – Stabilization (Trauma, Poisoning, Seizures)",,,
CAL0198511d311b7ef1968c5058f1774f03,very_short,1,772,"Agent: You have reached the Blue Sky Animal Hospital. All the lines are busy at the moment. For routine appointment bookings or prescription refill, we can be contacted through the Pet Desk app Text or you can leave a detailed message with your name, phone number and date and time you called. If you",Inconclusive,Existing,Urgent Care / Sick Pet,,,
CAL019851308095776c91c2dd0275e28d4f,no_medical_content,1,373,"Agent: Hello, Blue Animal Hospital, JD speaking. How can I help you? Caller: Hi. Good morning. I was calling to confirm that my dog has an appointment today. Her name is Treasure. Agent: Okay, what's the last name? Caller: Cousins. Agent: Yes, she's scheduled for 4:00 clock today. Caller: Yes. Perfe",Yes,Existing,Urgent Care / Sick Pet,,,
